id,symbol,interval,ema_fast,ema_slow,atr_period,sl_atr_mult,tp_atr_mult,risk_pct,fees_bps,trades,wins,win_rate,equity_start,equity_end,pnl_total,return_pct,max_drawdown_pct,score
15,SOLUSDC,15m,20,55,14,1.0,4.0,0.0075,10.0,67,18,26.865671641791046,10000.0,10680.539196858133,680.5391968581334,6.805391968581342,6.47092517293937,3.5699293821116576
16,SOLUSDC,15m,20,55,14,1.25,2.0,0.0025,10.0,90,37,41.11111111111111,10000.0,10021.119894507747,21.11989450774672,0.21119894507746206,1.8976132184485504,-0.7376076641468131
17,SOLUSDC,15m,20,55,14,1.25,2.0,0.005,10.0,90,37,41.11111111111111,10000.0,10033.395447706305,33.395447706305276,0.3339544770630587,3.7824524622916575,-1.55727175408277
18,SOLUSDC,15m,20,55,14,1.25,2.0,0.0075,10.0,90,37,41.11111111111111,10000.0,10036.813317983999,36.813317983998786,0.36813317983999116,5.653850331191607,-2.4587919857558123
19,SOLUSDC,15m,20,55,14,1.25,2.5,0.0025,10.0,71,26,36.61971830985916,10000.0,10051.058467243622,51.058467243621635,0.5105846724362095,1.8652175872055237,-0.4220241211665523
20,SOLUSDC,15m,20,55,14,1.25,2.5,0.005,10.0,71,26,36.61971830985916,10000.0,10093.650635082067,93.65063508206731,0.9365063508206761,3.7108291679208616,-0.9189082331397547
21,SOLUSDC,15m,20,55,14,1.25,2.5,0.0075,10.0,71,26,36.61971830985916,10000.0,10127.70415706046,127.70415706045969,1.2770415706045979,5.536605070130575,-1.4912609644606896
22,SOLUSDC,15m,20,55,14,1.25,3.0,0.0025,10.0,69,23,33.33333333333333,10000.0,10101.097896473364,101.09789647336402,1.0109789647336331,2.06142408428265,-0.019733077407691813
23,SOLUSDC,15m,20,55,14,1.25,3.0,0.005,10.0,69,23,33.33333333333333,10000.0,10192.714009365589,192.71400936558894,1.927140093655888,4.094983058068713,-0.12035143537846871
24,SOLUSDC,15m,20,55,14,1.25,3.0,0.0075,10.0,69,23,33.33333333333333,10000.0,10274.640064785555,274.6400647855553,2.7464006478555625,6.1006086034373315,-0.30390365386310325
