vol_min,trend_max,months,rows,BB_PERIOD,BB_K,equity_multiple,max_drawdown_pct,trades,win_rate_pct,avg_trade_ret_pct,buyhold_gated_multiple
0.01,0.2,1,2880,20,2.0,1.501558,7.76,58,68.97,0.7368,1.0888296078251003
0.012,0.25,1,2976,20,2.4,1.469259,12.45,34,64.71,1.2136,0.7727337077061017
0.012,0.3,1,2976,20,2.4,1.469259,12.45,34,64.71,1.2136,0.7727337077061017
0.012,0.25,1,2976,20,2.2,1.469242,21.68,50,60.0,0.8684,0.7727337077061017
0.012,0.3,1,2976,20,2.2,1.469242,21.68,50,60.0,0.8684,0.7727337077061017
0.012,0.25,1,2976,12,2.6,1.457454,10.03,14,71.43,2.8853,0.7727337077061017
0.012,0.3,1,2976,12,2.6,1.457454,10.03,14,71.43,2.8853,0.7727337077061017
0.008,0.15,1,2880,20,2.4,1.400095,10.26,41,78.05,0.8521,1.0888296078251003
0.008,0.2,1,2880,20,2.4,1.400095,10.26,41,78.05,0.8521,1.0888296078251003
0.01,0.15,1,2880,20,2.4,1.400095,10.26,41,78.05,0.8521,1.0888296078251003
0.01,0.2,1,2880,20,2.4,1.400095,10.26,41,78.05,0.8521,1.0888296078251003
0.008,0.15,1,2880,20,2.2,1.372599,7.76,47,70.21,0.718,1.0888296078251003
0.008,0.2,1,2880,20,2.2,1.372599,7.76,47,70.21,0.718,1.0888296078251003
0.01,0.15,1,2880,20,2.2,1.372599,7.76,47,70.21,0.718,1.0888296078251003
0.01,0.2,1,2880,20,2.2,1.372599,7.76,47,70.21,0.718,1.0888296078251003
0.012,0.25,1,2976,16,2.6,1.356463,10.28,25,72.0,1.3332,0.7727337077061017
0.012,0.3,1,2976,16,2.6,1.356463,10.28,25,72.0,1.3332,0.7727337077061017
0.008,0.15,1,2880,16,2.0,1.305863,13.96,67,61.19,0.4312,1.0888296078251003
0.008,0.2,1,2880,16,2.0,1.305863,13.96,67,61.19,0.4312,1.0888296078251003
0.01,0.15,1,2880,16,2.0,1.305863,13.96,67,61.19,0.4312,1.0888296078251003
0.01,0.2,1,2880,16,2.0,1.305863,13.96,67,61.19,0.4312,1.0888296078251003
0.008,0.15,1,2880,20,2.6,1.305805,8.16,30,83.33,0.9266,1.0888296078251003
0.008,0.2,1,2880,20,2.6,1.305805,8.16,30,83.33,0.9266,1.0888296078251003
0.01,0.15,1,2880,20,2.6,1.305805,8.16,30,83.33,0.9266,1.0888296078251003
0.01,0.2,1,2880,20,2.6,1.305805,8.16,30,83.33,0.9266,1.0888296078251003
0.012,0.25,1,2976,20,2.6,1.280553,12.45,27,70.37,0.9751,0.7727337077061017
0.012,0.3,1,2976,20,2.6,1.280553,12.45,27,70.37,0.9751,0.7727337077061017
0.008,0.15,1,2880,16,2.2,1.210149,7.93,52,69.23,0.3941,1.0888296078251003
0.008,0.2,1,2880,16,2.2,1.210149,7.93,52,69.23,0.3941,1.0888296078251003
0.01,0.15,1,2880,16,2.2,1.210149,7.93,52,69.23,0.3941,1.0888296078251003
0.01,0.2,1,2880,16,2.2,1.210149,7.93,52,69.23,0.3941,1.0888296078251003
0.012,0.25,1,2976,16,3.0,1.19524,0.0,4,100.0,4.6366,0.7727337077061017
0.012,0.3,1,2976,16,3.0,1.19524,0.0,4,100.0,4.6366,0.7727337077061017
0.008,0.15,1,2880,12,2.0,1.12894,14.76,74,56.76,0.1949,1.0888296078251003
0.008,0.2,1,2880,12,2.0,1.12894,14.76,74,56.76,0.1949,1.0888296078251003
