entry_mode,vol_buy_x,ema_fast,ema_slow,base_k,ratio_max,atr_mult,tp_mult,cooldown,trades,wins,losses,win_rate_pct,equity_multiple
either,0.8,50,200,1.8,1.4,1.5,3.0,2,12,2,10,16.667,0.885676
either,0.8,50,200,1.8,1.4,2.0,2.0,1,13,3,10,23.077,0.883616
either,0.8,50,200,1.8,1.4,2.0,2.0,2,11,2,9,18.182,0.885114
either,0.8,50,200,1.8,1.4,2.0,3.0,1,12,3,9,25.0,0.884584
either,0.8,50,200,1.8,1.4,2.0,3.0,2,11,2,9,18.182,0.885114
either,0.8,50,200,1.8,1.6,1.5,2.0,1,14,2,12,14.286,0.87291
either,0.8,50,200,1.8,1.6,1.5,2.0,2,13,2,11,15.385,0.886804
either,0.8,50,200,1.8,1.6,1.5,3.0,1,13,2,11,15.385,0.8718
either,0.8,50,200,1.8,1.6,1.5,3.0,2,12,2,10,16.667,0.885676
either,0.8,50,200,1.8,1.6,2.0,2.0,1,13,3,10,23.077,0.883616
either,0.8,50,200,1.8,1.6,2.0,2.0,2,11,2,9,18.182,0.885114
either,0.8,50,200,1.8,1.6,2.0,3.0,1,12,3,9,25.0,0.884584
either,0.8,50,200,1.8,1.6,2.0,3.0,2,11,2,9,18.182,0.885114
either,0.9,20,100,1.6,1.4,1.5,2.0,1,17,7,10,41.176,0.926813
either,0.9,20,100,1.6,1.4,1.5,2.0,2,17,7,10,41.176,0.914553
either,0.9,20,100,1.6,1.4,1.5,3.0,1,17,7,10,41.176,0.939807
either,0.9,20,100,1.6,1.4,1.5,3.0,2,17,7,10,41.176,0.917806
either,0.9,20,100,1.6,1.4,2.0,2.0,1,16,8,8,50.0,0.943381
either,0.9,20,100,1.6,1.4,2.0,2.0,2,15,7,8,46.667,0.91617
either,0.9,20,100,1.6,1.4,2.0,3.0,1,16,8,8,50.0,0.956607
either,0.9,20,100,1.6,1.4,2.0,3.0,2,15,7,8,46.667,0.919429
either,0.9,20,100,1.6,1.6,1.5,2.0,1,17,7,10,41.176,0.926813
either,0.9,20,100,1.6,1.6,1.5,2.0,2,16,7,9,43.75,0.937832
either,0.9,20,100,1.6,1.6,1.5,3.0,1,17,7,10,41.176,0.939807
either,0.9,20,100,1.6,1.6,1.5,3.0,2,16,7,9,43.75,0.941167
either,0.9,20,100,1.6,1.6,2.0,2.0,1,16,8,8,50.0,0.943381
either,0.9,20,100,1.6,1.6,2.0,2.0,2,14,7,7,50.0,0.937533
either,0.9,20,100,1.6,1.6,2.0,3.0,1,16,8,8,50.0,0.956607
either,0.9,20,100,1.6,1.6,2.0,3.0,2,14,7,7,50.0,0.940868
either,0.9,20,100,1.8,1.4,1.5,2.0,1,17,7,10,41.176,0.934526
either,0.9,20,100,1.8,1.4,1.5,2.0,2,16,7,9,43.75,0.947632
either,0.9,20,100,1.8,1.4,1.5,3.0,1,16,7,9,43.75,0.946164
either,0.9,20,100,1.8,1.4,1.5,3.0,2,15,7,8,46.667,0.959434
either,0.9,20,100,1.8,1.4,2.0,2.0,1,16,8,8,50.0,0.951231
either,0.9,20,100,1.8,1.4,2.0,2.0,2,14,7,7,50.0,0.947331
either,0.9,20,100,1.8,1.4,2.0,3.0,1,15,8,7,53.333,0.965361
either,0.9,20,100,1.8,1.4,2.0,3.0,2,14,7,7,50.0,0.96035
either,0.9,20,100,1.8,1.6,1.5,2.0,1,17,7,10,41.176,0.941223
either,0.9,20,100,1.8,1.6,1.5,2.0,2,16,7,9,43.75,0.954424
either,0.9,20,100,1.8,1.6,1.5,3.0,1,16,7,9,43.75,0.938047
either,0.9,20,100,1.8,1.6,1.5,3.0,2,15,7,8,46.667,0.951203
either,0.9,20,100,1.8,1.6,2.0,2.0,1,16,8,8,50.0,0.958049
either,0.9,20,100,1.8,1.6,2.0,2.0,2,14,7,7,50.0,0.95412
either,0.9,20,100,1.8,1.6,2.0,3.0,1,15,8,7,53.333,0.957079
either,0.9,20,100,1.8,1.6,2.0,3.0,2,14,7,7,50.0,0.952111
either,0.9,20,200,1.6,1.4,1.5,2.0,1,13,2,11,15.385,0.892779
either,0.9,20,200,1.6,1.4,1.5,2.0,2,13,2,11,15.385,0.887746
either,0.9,20,200,1.6,1.4,1.5,3.0,1,13,2,11,15.385,0.892779
either,0.9,20,200,1.6,1.4,1.5,3.0,2,13,2,11,15.385,0.887746
either,0.9,20,200,1.6,1.4,2.0,2.0,1,12,3,9,25.0,0.905001
either,0.9,20,200,1.6,1.4,2.0,2.0,2,11,2,9,18.182,0.885657
either,0.9,20,200,1.6,1.4,2.0,3.0,1,12,3,9,25.0,0.905001
either,0.9,20,200,1.6,1.4,2.0,3.0,2,11,2,9,18.182,0.885657
either,0.9,20,200,1.6,1.6,1.5,2.0,1,13,2,11,15.385,0.892779
either,0.9,20,200,1.6,1.6,1.5,2.0,2,12,2,10,16.667,0.9053
either,0.9,20,200,1.6,1.6,1.5,3.0,1,13,2,11,15.385,0.892779
either,0.9,20,200,1.6,1.6,1.5,3.0,2,12,2,10,16.667,0.9053
either,0.9,20,200,1.6,1.6,2.0,2.0,1,12,3,9,25.0,0.905001
either,0.9,20,200,1.6,1.6,2.0,2.0,2,10,2,8,20.0,0.90129
either,0.9,20,200,1.6,1.6,2.0,3.0,1,12,3,9,25.0,0.905001
either,0.9,20,200,1.6,1.6,2.0,3.0,2,10,2,8,20.0,0.90129
either,0.9,20,200,1.8,1.4,1.5,2.0,1,13,2,11,15.385,0.892779
either,0.9,20,200,1.8,1.4,1.5,2.0,2,12,2,10,16.667,0.9053
either,0.9,20,200,1.8,1.4,1.5,3.0,1,12,2,10,16.667,0.891644
either,0.9,20,200,1.8,1.4,1.5,3.0,2,11,2,9,18.182,0.904149
either,0.9,20,200,1.8,1.4,2.0,2.0,1,12,3,9,25.0,0.905001
either,0.9,20,200,1.8,1.4,2.0,2.0,2,10,2,8,20.0,0.90129
either,0.9,20,200,1.8,1.4,2.0,3.0,1,11,3,8,27.273,0.905993
either,0.9,20,200,1.8,1.4,2.0,3.0,2,10,2,8,20.0,0.90129
either,0.9,20,200,1.8,1.6,1.5,2.0,1,13,2,11,15.385,0.892779
either,0.9,20,200,1.8,1.6,1.5,2.0,2,12,2,10,16.667,0.9053
either,0.9,20,200,1.8,1.6,1.5,3.0,1,12,2,10,16.667,0.891644
either,0.9,20,200,1.8,1.6,1.5,3.0,2,11,2,9,18.182,0.904149
either,0.9,20,200,1.8,1.6,2.0,2.0,1,12,3,9,25.0,0.905001
