months,rows,vol_min,trend_max,BB_PERIOD,BB_K,equity_multiple,max_drawdown_pct,trades,win_rate_pct,avg_trade_ret_pct,buyhold_gated_multiple
2,5856,0.008,0.25,12,3.0,0.876878,14.52,5,40.0,-2.4914,1.1360732368788473
2,5856,0.01,0.25,12,3.0,0.876878,14.52,5,40.0,-2.4914,1.1360732368788473
2,5856,0.01,0.3,12,3.0,0.876878,14.52,5,40.0,-2.4914,1.1360732368788473
2,5856,0.008,0.25,16,3.0,0.86837,17.36,17,35.29,-0.801,1.1360732368788473
2,5856,0.01,0.25,16,3.0,0.86837,17.36,17,35.29,-0.801,1.1360732368788473
2,5856,0.01,0.3,16,3.0,0.86837,17.36,17,35.29,-0.801,1.1360732368788473
2,5856,0.008,0.25,12,2.2,0.865611,36.8,111,49.55,-0.1104,1.1360732368788473
2,5856,0.01,0.25,12,2.2,0.865611,36.8,111,49.55,-0.1104,1.1360732368788473
2,5856,0.01,0.3,12,2.2,0.865611,36.8,111,49.55,-0.1104,1.1360732368788473
2,5856,0.008,0.25,12,2.4,0.859108,28.71,72,50.0,-0.1886,1.1360732368788473
2,5856,0.01,0.25,12,2.4,0.859108,28.71,72,50.0,-0.1886,1.1360732368788473
2,5856,0.01,0.3,12,2.4,0.859108,28.71,72,50.0,-0.1886,1.1360732368788473
2,5856,0.008,0.25,12,2.6,0.807426,27.44,43,44.19,-0.4707,1.1360732368788473
2,5856,0.01,0.25,12,2.6,0.807426,27.44,43,44.19,-0.4707,1.1360732368788473
2,5856,0.01,0.3,12,2.6,0.807426,27.44,43,44.19,-0.4707,1.1360732368788473
1,2880,0.012,0.25,20,2.0,1.501558,7.76,58,68.97,0.7368,1.0888296078251003
1,2880,0.012,0.3,20,2.0,1.501558,7.76,58,68.97,0.7368,1.0888296078251003
1,2880,0.012,0.25,20,2.4,1.400095,10.26,41,78.05,0.8521,1.0888296078251003
1,2880,0.012,0.3,20,2.4,1.400095,10.26,41,78.05,0.8521,1.0888296078251003
1,2880,0.012,0.25,20,2.2,1.372599,7.76,47,70.21,0.718,1.0888296078251003
1,2880,0.012,0.3,20,2.2,1.372599,7.76,47,70.21,0.718,1.0888296078251003
