ym,regime,family,equity_multiple,max_drawdown_pct,trades,win_rate_pct,avg_trade_ret_pct,bh_month_mult,cum_strat_mult,cum_bh_mult,FEE_BPS,SLIP_BPS,VOL_MIN,TREND_SPLIT,MIN_BARS,W,DON_HI,DON_LO,mode,EMA_FAST,EMA_SLOW,RSI_N,RSI_BUY_MAX,RSI_SELL_MIN,BB_PERIOD,BB_K
2022-06,trend,BB_MOMO,0.9877239483231142,12.81594654239363,39,35.8974358974359,0.013205185186437873,0.7410008779631254,0.7007190769269973,7.626834595263879,5.0,5.0,0.004,0.15,900,6,,,BB_MOMO,,,,,,16.0,2.4
2022-07,trend,BB_MOMO,1.0804605720531923,6.817187909490419,44,40.90909090909091,0.19939062073801583,1.2592922985429675,0.7570993347051284,9.604414068076874,5.0,5.0,0.004,0.15,900,6,,,BB_MOMO,,,,,,16.0,2.4
2022-08,trend,BB_MOMO,0.9369616511805199,14.975709372788948,39,23.076923076923077,-0.1474645123195395,0.7422243166823752,0.7093730427529902,7.128629668812949,5.0,5.0,0.004,0.15,900,6,,,BB_MOMO,,,,,,16.0,2.4
2022-09,trend,BB_MOMO,0.830579170470198,18.873510926196314,35,31.428571428571427,-0.5177220678854177,1.0485651214128036,0.5891904734036989,7.474832434185764,5.0,5.0,0.004,0.15,900,6,,,BB_MOMO,,,,,,12.0,2.4
2022-12,trend,DON,1.0,0.0,0,0.0,0.0,0.7080965909090909,0.5891904734036989,5.292903364263641,5.0,5.0,0.004,0.15,900,6,20.0,10.0,DON,,,,,,,
2023-01,trend,DON,1.0,0.0,0,0.0,0.0,2.404020100502513,0.5891904734036989,12.724246077707168,5.0,5.0,0.004,0.15,900,6,20.0,10.0,DON,,,,,,,
2023-02,trend,EMA_X,1.046162081816901,12.60199012308798,39,28.205128205128204,0.14624164835801423,0.9162829635830891,0.6163887322426991,11.659009905442021,5.0,5.0,0.004,0.15,900,6,,,EMA_X,12.0,34.0,,,,,
2023-03,range,BB_MR,1.0,0.0,0,0.0,0.0,0.96709323583181,0.6163887322426991,11.275349616049049,5.0,5.0,0.004,0.15,900,6,,,BB_MR,,,,,,12.0,3.2
2023-04,range,RSI_MR,1.0840624842840927,0.05121429439045588,4,75.0,2.047139323823566,1.0706214689265536,0.6682039003597428,12.071631368594884,5.0,5.0,0.004,0.15,900,6,,,RSI_MR,,,14.0,20.0,55.0,,
2023-05,range,RSI_MR,0.9834552837642231,2.9715656738725005,4,50.0,-0.40203252676662693,0.9127192982456139,0.6571486564406515,11.018010911423662,5.0,5.0,0.004,0.15,900,6,,,RSI_MR,,,14.0,20.0,55.0,,
2023-07,range,RSI_MR,1.0227119741384265,1.2978980393284045,5,80.0,0.45545546723202435,1.2555555555555558,0.6720737997308333,13.833724811009711,5.0,5.0,0.004,0.15,900,6,,,RSI_MR,,,14.0,20.0,45.0,,
2023-08,trend,EMA_X,0.834413066069477,16.558693393052305,45,20.0,-0.39044762657088894,0.8315080033698399,0.5607871598583682,11.5028528967705,5.0,5.0,0.004,0.15,900,6,,,EMA_X,12.0,34.0,,,,,
2023-09,trend,DON,1.0,0.0,0,0.0,0.0,1.0803842264914054,0.5607871598583682,12.427500829321819,5.0,5.0,0.004,0.15,900,6,20.0,10.0,DON,,,,,,,
2023-11,trend,DON,1.0,0.0,0,0.0,0.0,1.5531691985332634,0.5607871598583682,19.302011502849236,5.0,5.0,0.004,0.15,900,6,20.0,10.0,DON,,,,,,,
2023-12,trend,EMA_X,1.258930672915424,14.982034831856762,39,33.333333333333336,0.7672603135275846,1.72289972899729,0.705992156522825,33.25543038736152,5.0,5.0,0.004,0.15,900,6,,,EMA_X,12.0,34.0,,,,,
2024-01,trend,EMA_X,0.9579783999703103,16.682692748446737,50,24.0,-0.05318109474435895,0.9472450175849941,0.6763252364973248,31.501040742072814,5.0,5.0,0.004,0.15,900,6,,,EMA_X,10.0,34.0,,,,,
2024-03,trend,EMA_X,0.9264733326199572,16.98988726156696,60,28.333333333333332,-0.07570172495595662,1.588590709353421,0.6265972957926572,50.04226065782047,5.0,5.0,0.004,0.15,900,6,,,EMA_X,12.0,26.0,,,,,
2024-04,trend,EMA_X,0.818599626519054,18.791655314812804,48,29.166666666666668,-0.3968426510521872,0.6284453698195518,0.5129323123137184,31.448827005710392,5.0,5.0,0.004,0.15,900,6,,,EMA_X,10.0,34.0,,,,,
2024-05,trend,EMA_X,1.0443589760558023,17.80401878293786,49,28.571428571428573,0.12216979195771582,1.3089687870406954,0.53568546447389,41.1655329395174,5.0,5.0,0.004,0.15,900,6,,,EMA_X,10.0,34.0,,,,,
2024-06,trend,EMA_X,0.9774143766929538,7.905556315129203,48,31.25,-0.03463512746030295,0.8826610475617099,0.5235866743622226,36.335212427830506,5.0,5.0,0.004,0.15,900,6,,,EMA_X,10.0,34.0,,,,,
2024-07,range,RSI_MR,0.9625219596476431,6.2001613816477175,12,50.0,-0.29705374580855093,1.1739249333424489,0.5039636718525189,42.65481182732464,5.0,5.0,0.004,0.15,900,6,,,RSI_MR,,,14.0,30.0,55.0,,
2024-08,trend,DON,1.0,0.0,0,0.0,0.0,0.7858677350055159,0.5039636718525189,33.52104035782611,5.0,5.0,0.004,0.15,900,6,20.0,10.0,DON,,,,,,,
2024-09,trend,DON,1.0,0.0,0,0.0,0.0,1.1253044055789243,0.5039636718525189,37.721374394250645,5.0,5.0,0.004,0.15,900,6,20.0,10.0,DON,,,,,,,
2024-12,trend,DON,1.0,0.0,0,0.0,0.0,0.7935197216749801,0.5039636718525189,29.93265451052349,5.0,5.0,0.004,0.15,900,6,20.0,10.0,DON,,,,,,,
2025-01,trend,DON,1.0,0.0,0,0.0,0.0,1.2165765576610152,0.5039636718525189,36.41536578606913,5.0,5.0,0.004,0.15,900,6,20.0,10.0,DON,,,,,,,
2025-02,trend,DON,1.0,0.0,0,0.0,0.0,0.6365393702478629,0.5039636718525189,23.179814004810016,5.0,5.0,0.004,0.15,900,6,20.0,10.0,DON,,,,,,,
2025-03,trend,DON,1.0,0.0,0,0.0,0.0,0.845026462206541,0.5039636718525189,19.58755622309024,5.0,5.0,0.004,0.15,900,6,20.0,10.0,DON,,,,,,,
2025-04,trend,DON,1.0,0.0,0,0.0,0.0,1.1860128617363344,0.5039636718525189,23.2310936105686,5.0,5.0,0.004,0.15,900,6,20.0,10.0,DON,,,,,,,
2025-05,trend,DON,1.0,0.0,0,0.0,0.0,1.0558817574407775,0.5039636718525189,24.52928794879839,5.0,5.0,0.004,0.15,900,6,20.0,10.0,DON,,,,,,,
2025-09,trend,EMA_X,0.9391144522434197,11.332799554904883,22,27.272727272727273,-0.27513406576642474,1.0716428357164283,0.4732795676423608,26.286635695555116,5.0,5.0,0.004,0.15,900,6,,,EMA_X,10.0,20.0,,,,,
