BB_COOLDOWN_BARS,BB_K,BB_PERIOD,EMA_TREND_N,REQUIRE_TREND,RSI_BUY_MAX,RSI_SELL_MIN,VOL_MA_N,VOL_MULT,avg_trade_ret_pct,entry_func,equity_multiple,losses,max_drawdown_pct,trades,win_rate_pct,wins
2,2.2,12,200,1,55,60,20,1.0,-0.4439,run_backtest,0.066848,298,93.64,569,47.63,271
2,2.4,14,200,1,55,60,20,0.75,-0.4744,run_backtest,0.0668,279,93.77,534,47.75,255
2,2.2,12,200,1,60,65,20,1.0,-0.4391,run_backtest,0.065121,308,93.97,580,46.9,272
2,2.2,12,100,1,55,60,20,0.75,-0.4891,run_backtest,0.06409,279,93.94,533,47.65,254
2,2.2,12,200,1,55,65,20,1.0,-0.4556,run_backtest,0.062905,304,94.12,567,46.38,263
2,2.2,12,100,1,60,60,20,0.75,-0.478,run_backtest,0.062301,287,94.11,551,47.91,264
2,2.0,20,100,1,55,60,20,0.75,-0.4727,run_backtest,0.06088,301,94.67,558,46.06,257
2,2.2,12,100,1,55,65,20,0.75,-0.5004,run_backtest,0.060176,295,94.31,532,44.55,237
2,2.2,12,100,1,60,65,20,0.75,-0.4858,run_backtest,0.059409,302,94.39,550,45.09,248
0,2.4,14,200,1,60,65,20,0.75,-0.4579,run_backtest,0.059222,307,94.48,575,46.61,268
0,2.4,14,200,1,55,65,20,0.75,-0.4648,run_backtest,0.059094,305,94.49,567,46.21,262
2,2.0,20,100,1,60,60,20,0.75,-0.4736,run_backtest,0.057719,305,94.94,568,46.3,263
0,2.4,14,200,1,60,60,20,0.75,-0.4639,run_backtest,0.056825,303,94.7,578,47.58,275
2,2.0,14,100,1,60,60,20,1.0,-0.5564,run_backtest,0.056666,265,94.66,490,45.92,225
2,2.0,14,100,1,55,60,20,1.0,-0.5848,run_backtest,0.056473,255,94.68,467,45.4,212
0,2.4,14,200,1,55,60,20,0.75,-0.4738,run_backtest,0.055765,301,94.8,570,47.19,269
0,2.0,14,100,1,60,60,20,1.0,-0.5387,run_backtest,0.053949,276,94.92,514,46.3,238
0,2.0,14,100,1,55,60,20,1.0,-0.5648,run_backtest,0.053765,266,94.94,491,45.82,225
2,2.0,20,100,1,55,65,20,0.75,-0.497,run_backtest,0.053741,311,95.29,555,43.96,244
0,2.0,20,100,1,55,60,20,0.75,-0.4645,run_backtest,0.053257,321,95.34,595,46.05,274
2,2.0,20,100,1,60,65,20,0.75,-0.4971,run_backtest,0.051072,316,95.53,565,44.07,249
0,2.0,20,100,1,60,60,20,0.75,-0.4654,run_backtest,0.050492,325,95.59,605,46.28,280
2,2.0,20,200,1,55,60,20,1.0,-0.4497,run_backtest,0.049878,328,95.05,622,47.27,294
0,2.2,12,100,1,55,60,20,0.75,-0.5169,run_backtest,0.049268,295,95.34,554,46.75,259
2,2.2,14,200,1,60,60,20,1.0,-0.4878,run_backtest,0.048863,306,95.48,581,47.33,275
