vol_x,ema_fast,ema_slow,base_k,ratio_max,adx_thr,stop_mult,trail_TR,tp_TR,trail_RG,tp_RG,cooldown,trades,wins,losses,win_rate_pct,equity_multiple
0.85,50,200,1.6,1.6,18,1.0,2.5,4.0,1.5,1.5,1,33,18,15,54.55,1.010038
0.85,50,200,1.6,1.6,18,1.5,2.0,3.0,1.5,1.5,1,33,18,15,54.55,1.00044
0.85,50,200,1.6,1.6,18,1.5,2.0,4.0,1.5,1.5,1,33,18,15,54.55,1.00044
0.85,50,200,1.6,1.6,18,1.5,2.5,3.0,1.5,1.5,1,33,18,15,54.55,1.00044
0.85,50,200,1.6,1.6,18,1.5,2.5,4.0,1.5,1.5,1,33,18,15,54.55,1.00044
0.85,50,200,1.6,1.6,22,1.0,2.0,3.0,1.5,1.5,1,32,17,15,53.12,1.018112
0.85,50,200,1.6,1.6,22,1.0,2.0,4.0,1.5,1.5,1,32,17,15,53.12,1.018112
0.85,50,200,1.6,1.6,22,1.0,2.5,3.0,1.5,1.5,1,32,17,15,53.12,1.018112
0.85,50,200,1.6,1.6,22,1.0,2.5,4.0,1.5,1.5,1,32,17,15,53.12,1.018112
0.85,50,200,1.6,1.6,22,1.5,2.0,3.0,1.5,1.5,1,32,17,15,53.12,1.008437
0.85,50,200,1.6,1.6,22,1.5,2.0,4.0,1.5,1.5,1,32,17,15,53.12,1.008437
0.85,50,200,1.6,1.6,22,1.5,2.5,3.0,1.5,1.5,1,32,17,15,53.12,1.008437
0.85,50,200,1.6,1.6,22,1.5,2.5,4.0,1.5,1.5,1,32,17,15,53.12,1.008437
0.85,50,200,1.8,1.4,18,1.0,2.0,3.0,1.5,1.5,1,27,13,14,48.15,0.992731
0.85,50,200,1.8,1.4,18,1.0,2.0,4.0,1.5,1.5,1,27,13,14,48.15,0.992731
0.85,50,200,1.8,1.4,18,1.0,2.5,3.0,1.5,1.5,1,27,13,14,48.15,0.992731
0.85,50,200,1.8,1.4,18,1.0,2.5,4.0,1.5,1.5,1,27,13,14,48.15,0.992731
0.85,50,200,1.8,1.4,18,1.5,2.0,3.0,1.5,1.5,1,27,13,14,48.15,0.973074
0.85,50,200,1.8,1.4,18,1.5,2.0,4.0,1.5,1.5,1,27,13,14,48.15,0.973074
0.85,50,200,1.8,1.4,18,1.5,2.5,3.0,1.5,1.5,1,27,13,14,48.15,0.973074
0.85,50,200,1.8,1.4,18,1.5,2.5,4.0,1.5,1.5,1,27,13,14,48.15,0.973074
0.85,50,200,1.8,1.4,22,1.0,2.0,3.0,1.5,1.5,1,26,13,13,50.0,0.992348
0.85,50,200,1.8,1.4,22,1.0,2.0,4.0,1.5,1.5,1,26,13,13,50.0,0.992348
0.85,50,200,1.8,1.4,22,1.0,2.5,3.0,1.5,1.5,1,26,13,13,50.0,0.992348
0.85,50,200,1.8,1.4,22,1.0,2.5,4.0,1.5,1.5,1,26,13,13,50.0,0.992348
0.85,50,200,1.8,1.4,22,1.5,2.0,3.0,1.5,1.5,1,26,13,13,50.0,0.972698
0.85,50,200,1.8,1.4,22,1.5,2.0,4.0,1.5,1.5,1,26,13,13,50.0,0.972698
0.85,50,200,1.8,1.4,22,1.5,2.5,3.0,1.5,1.5,1,26,13,13,50.0,0.972698
0.85,50,200,1.8,1.4,22,1.5,2.5,4.0,1.5,1.5,1,26,13,13,50.0,0.972698
0.85,50,200,1.8,1.6,18,1.0,2.0,3.0,1.5,1.5,1,26,13,13,50.0,1.00185
0.85,50,200,1.8,1.6,18,1.0,2.0,4.0,1.5,1.5,1,26,13,13,50.0,1.00185
0.85,50,200,1.8,1.6,18,1.0,2.5,3.0,1.5,1.5,1,26,13,13,50.0,1.00185
0.85,50,200,1.8,1.6,18,1.0,2.5,4.0,1.5,1.5,1,26,13,13,50.0,1.00185
0.85,50,200,1.8,1.6,18,1.5,2.0,3.0,1.5,1.5,1,26,13,13,50.0,0.982012
0.85,50,200,1.8,1.6,18,1.5,2.0,4.0,1.5,1.5,1,26,13,13,50.0,0.982012
0.85,50,200,1.8,1.6,18,1.5,2.5,3.0,1.5,1.5,1,26,13,13,50.0,0.982012
0.85,50,200,1.8,1.6,18,1.5,2.5,4.0,1.5,1.5,1,26,13,13,50.0,0.982012
0.85,50,200,1.8,1.6,22,1.0,2.0,3.0,1.5,1.5,1,25,13,12,52.0,1.001463
